1.46	1.441	1.412	1.353
1.459	1.435	1.408	1.328
1.461	1.43	1.394	1.313
1.455	1.417	1.378	1.297
1.449	1.378	1.331	1.238
1.444	1.388	1.332	1.239
1.416	1.355	1.265	1.11
1.47	1.37	1.255	1.095
1.47	1.33	1.195	1.02
1.467	1.314	1.182	1.031
1.472	1.285	1.14	1
1.466	1.263	1.123	0.994
1.455	1.442	1.425	1.326
1.452	1.437	1.415	1.301
1.45	1.426	1.402	1.27
1.447	1.416	1.39	1.244
1.445	1.409	1.38	1.226
1.441	1.4	1.365	1.201
1.452	1.447	1.435	1.423
1.462	1.452	1.44	1.428
1.451	1.435	1.416	1.4
1.46	1.446	1.42	1.4
1.447	1.424	1.4	1.381
1.451	1.424	1.397	1.375
